Title,channel_title,published_at,category_id,view_count,like_count,comment_count,favorite_count,duration,definition,caption,engagement_rate,likes_to_views_ratio,comments_to_views_ratio,duration_seconds,video_age_days
LA PERVERSA X LA INSUPERABLE X ALOFOKE MUSIC X SHADOW BLOW - BANDIDA,AlofokeMusicSounds,2025-11-16 15:34:55+00:00,10,1405647,140463,9063,0,PT1M51S,hd,FALSE,0.106375138,0.09992757789,0.006447560129,111,1
Moana | Official Teaser,Disney,2025-11-17 17:00:47+00:00,24,2776847,26801,6684,0,PT1M,hd,TRUE,0.01205863627,0.00965159058,0.002407045686,60,0
$0 - $1 Trillion Only FISHING in Steal a Brainrot..,CaylusBlox,2025-11-17 22:57:14+00:00,20,1189857,16174,1827,0,PT18M2S,hd,FALSE,0.01512869603,0.01359321869,0.001535477343,1082,0
ALLDAY PROJECT - ‘ONE MORE TIME’ M/V,THEBLACKLABEL,2025-11-17 09:00:07+00:00,10,5319161,0,12869,0,PT3M23S,hd,TRUE,0.002419366058,0,0.002419366058,203,1
La Lupa | Vendetta Hero Trailer | Overwatch 2,PlayOverwatch,2025-11-17 17:00:06+00:00,20,597542,41742,4728,0,PT3M35S,hd,TRUE,0.07776846185,0.06985606057,0.007912401283,215,0
I Shouldn’t Have Went Christmas Shopping…,CaseOh,2025-11-17 23:01:11+00:00,20,296652,10565,676,0,PT1H13M51S,hd,FALSE,0.03789275686,0.0356140002,0.002278756662,4431,0
Charli xcx - Chains of Love (Official Video),Charli xcx,2025-11-17 17:00:56+00:00,10,333414,33124,1778,0,PT3M13S,hd,FALSE,0.1046803533,0.09934765982,0.00533269349,193,0
Wake Up Dead Man: A Knives Out Mystery | Official Trailer | Netflix,Netflix,2025-11-17 14:00:00+00:00,24,1925626,34578,1248,0,PT2M3S,hd,TRUE,0.01860484923,0.01795674863,0.0006481005927,123,0
It's all crashing down..,Asmongold TV,2025-11-18 02:00:35+00:00,20,755718,26231,5285,0,PT17M13S,hd,FALSE,0.04170333153,0.03470999141,0.006993340117,1033,0
DeeBaby  - Pain Gon Come (  Official Music Video ),Official DeeBabyTV,2025-11-17 19:00:57+00:00,10,92297,4674,306,0,PT2M56S,hd,FALSE,0.05395566534,0.05064031723,0.003315348112,176,0
Five Nights at Freddy's 2 | Rage,Universal Pictures,2025-11-17 17:01:35+00:00,24,356239,22033,1270,0,PT33S,hd,FALSE,0.065413766,0.06184875365,0.003565012351,33,0
"Steal A Brainrot, But Everything I Touch Turns OWNER..",KAYE,2025-11-17 22:00:51+00:00,20,306602,5306,2056,0,PT17M26S,hd,FALSE,0.02401150674,0.01730576674,0.006705739996,1046,0
Fine Chiki,JNR VIGI - Topic,2025-11-07 06:58:26+00:00,10,79628,2581,76,0,PT3M42S,hd,FALSE,0.03336724058,0.03241281443,0.0009544261513,222,11
IT: Welcome to Derry | Midseason Trailer | HBO Max,HBO Max,2025-11-17 03:00:38+00:00,24,599589,24027,1424,0,PT1M34S,hd,TRUE,0.04244733901,0.04007238279,0.00237495622,94,1
Friday Night Funkin: The Lost Episode,CoryxKenshin,2025-11-16 20:05:03+00:00,20,2137798,233435,22070,0,PT35M55S,hd,FALSE,0.1195177844,0.1091940823,0.01032370209,2155,1
KAROL G - PROVENZA (Letra/Lyrics),FirePlay,2025-11-16 14:48:58+00:00,10,234277,406,4,0,PT3M27S,hd,TRUE,0.001750057624,0.001732983891,1.71E-05,207,1
Avatar: Fire and Ash | In Theatres December 19,Avatar,2025-11-18 02:56:47+00:00,24,126113,8433,574,0,PT1M,hd,TRUE,0.07141950933,0.06686807174,0.004551437588,60,0
THE GAME AWARDS 2025 Nominees Revealed!,thegameawards,2025-11-17 17:14:13+00:00,20,781412,43744,6522,0,PT10M12S,hd,FALSE,0.0643270588,0.0559806402,0.008346418603,612,0
"God, Save Me From Myself (Ashes of Eden)",WizFlow Tunes - Topic,2025-11-14 11:15:54+00:00,10,150998,6224,65,0,PT2M55S,hd,FALSE,0.04164928245,0.04121881602,0.0004304664269,175,3
The Legend of Zelda - First Trailer (2027) Nintendo | Sony Pictures,Teaser Universe,2025-11-17 15:50:06+00:00,1,62431,712,168,0,PT1M10S,hd,FALSE,0.01409533573,0.011404408,0.002690927729,70,0
They Made A Fun Slot Even More Fun,Vegas Matt,2025-11-17 16:45:00+00:00,24,274341,11594,1934,0,PT1H4M32S,hd,FALSE,0.04931071436,0.04226111933,0.007049595031,3872,0
When You're Gone,Sean Rii - Topic,2025-11-06 10:00:03+00:00,10,141507,4357,268,0,PT3M28S,hd,FALSE,0.03268366453,0.03078977867,0.001893885858,208,12
BFDIA 23 TRAILER — TICKETS NOW AVAILABLE!,jacknjellify,2025-11-16 18:00:24+00:00,1,454534,28397,7830,0,PT38S,hd,FALSE,0.07970123313,0.06247483692,0.01722639621,38,1
🔴 LIVE! - WINNING in SOLO FORTNITE SIMPSONS!,Typical Gamer,2025-11-18 08:20:26+00:00,20,152530,1300,8,0,PT4H32M19S,hd,FALSE,0.008575306003,0.008522857649,5.24E-05,16339,0
"Romeo Santos, Drake - Odio (Letra)",SabroSón,2025-11-10 23:00:21+00:00,10,142572,252,0,0,PT3M46S,hd,FALSE,0.001767515589,0.001767515589,0,226,7
YEEPS PLUSH PETS REVEALED | Official Launch Trailer,Yeeps Official,2025-11-17 18:00:06+00:00,20,31815,1326,492,0,PT1M5S,hd,FALSE,0.0571410611,0.04167714358,0.01546391753,65,0
I Ranked Every Viral Roblox Game,Ludwin,2025-11-17 20:00:43+00:00,20,259679,9856,716,0,PT48M6S,hd,FALSE,0.0407116451,0.03795440542,0.00275723968,2886,0
NCT DREAM 엔시티 드림 'Beat It Up' MV,SMTOWN,2025-11-17 09:00:34+00:00,10,2942637,172216,11650,0,PT3M29S,hd,TRUE,0.06248339075,0.05852435808,0.003959032677,209,1
Chibi Reacts to The Super Mario Galaxy movie Trailer!,chibidoki,2025-11-17 19:01:04+00:00,24,98459,7025,418,0,PT6M55S,hd,FALSE,0.07559414991,0.07134877107,0.004245378834,415,0
BUILDING a ZOO in Roblox,SSundee,2025-11-17 22:00:46+00:00,20,258944,10459,591,0,PT19M37S,hd,FALSE,0.04267315453,0.04039081658,0.002282337948,1177,0
Kronos_StyleKumul - Daddy Raus (Official Music Video),KronosStyleKumuVEVO,2025-11-10 14:47:48+00:00,10,27907,681,36,0,PT4M17S,hd,FALSE,0.02569155798,0.02440160527,0.001289952702,257,7
"IT Welcome To Derry Episode 5 Trailer | Mid-Season Teaser Breakdown, Hidden Details & Easter Eggs",Heavy Spoilers,2025-11-17 12:00:55+00:00,24,76944,2938,350,0,PT14M38S,hd,FALSE,0.04273182143,0.03818311781,0.004548703619,878,0
World at War,World at War,2025-11-03 04:49:10+00:00,24,0,0,0,0,P0D,sd,FALSE,0,0,0,0,15
Rocío Dúrcal - Hoy Lo Vi Pasar (Letra),Latin Love,2025-11-11 17:45:06+00:00,10,451946,2230,40,0,PT3M23S,hd,FALSE,0.00502271284,0.004934206887,8.85E-05,203,6
IT Welcome To Derry Episode 5 Trailer: He’s Back!,Emergency Awesome,2025-11-17 21:10:21+00:00,24,39549,1586,237,0,PT13M5S,hd,TRUE,0.04609355247,0.0401011378,0.005992414665,785,0
Beating Clubstep in 1 day,Jynxzi,2025-11-18 01:33:46+00:00,24,287960,5385,200,0,PT2H46M17S,hd,FALSE,0.01939498752,0.01870044902,0.0006945384965,9977,0
I'll Burn This Bitch Down,Unbound Music - Topic,2025-11-14 05:17:15+00:00,10,100109,6440,0,0,PT4M,hd,FALSE,0.06432923784,0.06432923784,0,240,4
Night Patrol | Official Trailer | Shudder,Shudder,2025-11-17 16:28:22+00:00,24,89385,3057,288,0,PT2M25S,hd,FALSE,0.03742196765,0.03419998658,0.003221981071,145,0
Everything I Say COMES TO LIFE in Steal a Brainrot!,CashBlox,2025-11-17 15:00:02+00:00,24,493990,7389,4660,0,PT14M56S,hd,FALSE,0.02439113263,0.01495776239,0.009433370244,896,0
Money,Cardi B - Topic,2025-11-13 01:58:33+00:00,10,130717,1870,15,0,PT3M4S,hd,FALSE,0.01442035527,0.01430560443,0.0001147508377,184,5
Dhurandhar Official Trailer | Ranveer Singh | Aditya Dhar | In Cinemas 5th December 2025,JioStudios,2025-11-18 06:50:49+00:00,24,1458727,108666,9231,0,PT4M8S,hd,TRUE,0.08082178446,0.07449366846,0.006328116002,248,0
ONE GIRL at the ALPHA WOLF School!,Aphmau,2025-11-17 21:34:19+00:00,20,203329,6359,642,0,PT18M31S,hd,FALSE,0.034431712,0.03127428318,0.00315742881,1111,0
"Bowling For Soup, Punk Rock Factory, Wheatus - Endless Possibility",BowlingForSoupVEVO,2025-11-17 14:01:33+00:00,10,66550,13250,1108,0,PT3M56S,hd,FALSE,0.2157443164,0.1990954306,0.01664888582,236,0
IT: Welcome to Derry (2025) | Episode 5 Trailer | HBO Max,TeaserCon,2025-11-17 01:30:35+00:00,1,157413,2686,213,0,PT38S,hd,FALSE,0.01841640515,0.01706328535,0.001353119799,38,1
The best MULTIPLAYER Backrooms game's FULL RELEASE is here. (Escape The Backrooms 1.0 - ALL Endings),8-BitRyan,2025-11-17 19:00:44+00:00,20,149274,10026,625,0,PT3H3M7S,hd,FALSE,0.07135153241,0.06716462904,0.004186903366,10987,0
Hace Tiempo En El Gabacho,Cris Mejia - Topic,2025-11-14 04:53:21+00:00,10,36443,600,24,0,PT3M23S,hd,FALSE,0.01712216003,0.01646361541,0.0006585446164,203,4
The Beatles Anthology | Official Trailer | Disney+,The Beatles,2025-11-17 14:55:08+00:00,10,116340,8170,529,0,PT2M26S,hd,TRUE,0.07477157666,0.07022459838,0.004546978279,146,0
Can I Survive Infinite Goblins in Gnomoria?,Reggie,2025-11-17 13:50:09+00:00,20,462112,36697,1699,0,PT44M39S,hd,FALSE,0.08308790274,0.07941131282,0.003676589925,2679,0
Hate me all you want,Breaking Rust - Topic,2025-11-13 10:03:49+00:00,10,93438,4764,52,0,PT3M5S,hd,FALSE,0.05154164749,0.05098513469,0.0005565128051,185,5
